UBICACION,2023,2022,2021,2020,2019,2018,2017,2016,2015,
TOTAL NACIONAL,123452.0,112446.0,98230.0,87475.0,90674.0,83437.0,80597.0,77562.0,76887.0,
ANDALUCÍA,25806.0,23362.0,20671.0,19122.0,19269.0,17772.0,17358.0,16948.0,17423.0,
ARAGÓN,3330.0,2991.0,2487.0,2333.0,2527.0,2470.0,2220.0,2130.0,1999.0,
ASTURIAS (PRINCIPADO DE),2346.0,2005.0,1633.0,1615.0,1701.0,1588.0,1539.0,1626.0,1595.0,
BALEARS (ILLES),5998.0,5412.0,4478.0,3890.0,4297.0,3723.0,3452.0,3339.0,2879.0,
CANARIAS,8297.0,7443.0,6802.0,6531.0,6471.0,5790.0,5782.0,5493.0,5418.0,
CANTABRIA,1410.0,1207.0,886.0,758.0,770.0,775.0,694.0,700.0,769.0,
CASTILLA Y LEÓN,4618.0,4076.0,3719.0,3173.0,3306.0,3071.0,3082.0,3010.0,3051.0,
CASTILLA - LA MANCHA,5382.0,4985.0,4271.0,3754.0,3726.0,3540.0,3285.0,3155.0,3258.0,
CATALUÑA,9240.0,8605.0,7743.0,5116.0,6822.0,6655.0,6588.0,6629.0,6566.0,
COMUNITAT VALENCIANA,17812.0,16489.0,14116.0,12707.0,13158.0,12182.0,11422.0,10919.0,10510.0,
EXTREMADURA,2198.0,2007.0,1688.0,1547.0,1631.0,1541.0,1528.0,1504.0,1448.0,
GALICIA,5499.0,4954.0,4200.0,4101.0,4304.0,4021.0,3861.0,3807.0,3704.0,
MADRID (COMUNIDAD DE),17382.0,16366.0,14739.0,13077.0,13459.0,12130.0,11950.0,10894.0,10520.0,
MURCIA (REGIÓN DE),5687.0,4904.0,4317.0,3693.0,3667.0,3399.0,3290.0,3103.0,3174.0,
NAVARRA (COMUNIDAD FORAL DE),1861.0,1632.0,1224.0,1088.0,1050.0,343.0,305.0,284.0,553.0,
PAÍS VASCO,4879.0,4526.0,3900.0,3831.0,3196.0,3145.0,3030.0,2853.0,2845.0,
RIOJA (LA),875.0,771.0,664.0,523.0,563.0,595.0,479.0,472.0,473.0,
CIUDAD AUTÓNOMA DE CEUTA,254.0,225.0,259.0,203.0,240.0,265.0,264.0,251.0,207.0,
CIUDAD AUTÓNOMA DE MELILLA,350.0,300.0,269.0,274.0,293.0,245.0,269.0,249.0,300.0,
EN EL EXTRANJERO,228.0,186.0,164.0,139.0,219.0,180.0,190.0,193.0,192.0,
DESCONOCIDA,0.0,0.0,0.0,0.0,5.0,7.0,9.0,3.0,3.0,
